,Hotel_Name,City_Name,country_name,Rating,Price/Night,Amenities,Description,Review1,Review2
0,Courtyard Bilaspur,bilaspur,India,4.4,3599,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Banquet hall']","Citymall 36 Mangla Chowk, 495001, Bilaspur","Good & cosy experience. Excellent food. Variety of food to choose from. Rooms were well maintained & well furnished. Bathroom was clean. staff behavior was polite and friendly. overall I enjoyed my stay here, and a regular visitor at Courtyard Bilaspur.
Easy access to auto stand, Railway Station. Place near to market, mall & inox. Good number of shops were there. Cab service is also available.",As always superb marriot experience it's my fourth time stay with marriot Bilaspur. Very nice & maintane property Luxurious room with wooden floors and ultra clean bathrooms. Rooms is equipped with Tea coffee maker and refrigerator and king sized bed with clean linen. Hotels staff is very disciplined and cooperative. Complimentary breakfast and dinner is mouthwatering and too much variety just like starters salads soups main course sweets and many types of ice-cream. Wallet parking is superb.
1,The Emerald,bilaspur,India,4.1,1319,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Conference Room']","Telephone Exchange Road Near Old Bus Stand,Bilaspur - 495001","nice location, clean, good and supportive staff. specially the roof top bar tender Mr.Raju. he is very helpful. nice bar at the rooftop. good food quality. nice room with all the amenities except team maker in the room. over all good experience. I would request the management to give the tea maker and at least one complementary water bottles in the room.","everything is good so far,location is also a prime one you can easily accessible to bus stand and railway station,staff are also good"
2,OYO 45443 Hotel Suvidha,bilaspur,India,4.4,1501,"['Sanitizers installed', 'Air Conditioning', 'Banquet hall', 'Sanitizers']","2, Gole Bazar Road, Bilaspur - 495001","very nice hotel and good staff...........
neat and clean rooms...
near to city...........nice place...","Room Service is good 👍👍👍
helping girl is very beautiful
manager is good looking
bathroom is messy
Fan is slow
ac is not going
all good 😍😍😍"
3,Hotel Jeet Continental,bilaspur,India,4.2,2163,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Conference Room']","Rabindranath Tagore Chowk Shiv Talkies chowk, Near Mama Bhanja Talab, Bilaspur C.G. - 495001",Location is good...staff behaviour is nice...breakfast is also good,"Nice location, very neat, clean and spacious room.cooperative hotel staff."
4,Hotel Silver Oak,bilaspur,India,3.8,1695,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Hospital in the vicinity']","Telephone Exchange Road, Bilaspur - 495001",amazing experience every time...nice hospitality and quick service.,nice hotel. courteous staff. good breakfast... location is prime.. good accesebility to Railway Station. Big rooms...
5,Hotel Vinayak Palace,bilaspur,India,4.1,1206,"['Doctor On Call', 'Sanitizers installed', 'Parking Facility', 'Air Conditioning']","Hotel Vinayak Palace 2nd Floor,Siddhi Vinayak Shopping Arcade Telipara,Bilaspur(C.G) - 495001","The stay at hotel was good. but was not easily approachable. the food at restaurant was also good. spacious
service was good. all the amenities were provided","good hotel near old bus stop walkable even food is very good, staff is also cooperative"
6,The Aananda Imperial,bilaspur,India,4.2,2678,"['Doctor On Call', 'Sanitizers installed', 'Safety authorization certificate', 'Hospital in the vicinity']",Vyapar Vihar Road Opp Calcutta Transport Bilaspur - 495001,"nice rooms,excellent services
nice rooms ,good staff behaviour and good location","A very pleasant experience
got room upgrade
extremely courteous Manager n staff
owner himself is overseeing business
good tasty food
good breakfast spread ,on order items also served ,which add to experience
very neatly maintained rooms
My first visit ,I was a die hard hotel Jeet continental fan ,but now Ananda will be my first choice
Atmosphere
Courtsey
Efficient staff
wonerfully Smooth check-in checkout experience"
7,Hotel Raja,bilaspur,India,3.7,698,"['Doctor On Call', 'Sanitizers installed', 'Safety authorization certificate', 'Banquet hall']","OLD BUS-STAND, Telephone Exchange, Bilaspur,Bilaspur 495001","Nice Budget Hotel...
very good Room Services
Cleanliness 5 out of 5
room Service 5 out of 5
at very good Location of the City...
near OLD Bus stand for the Bus connectivity...
Main Bilaspur railway Station is 3.5 km far from this Hotel...
Good food from the attached restaurants... for Veg and Non Veg both...
recommendations for all
ThanksSs",hotel is located in mid of the city on first floor and second floor of commercial complex.location is good but Always crowded with traffic.no good food is available with this hotel as no restaurant is inside the hotel.they arrange food from outside I found is a bit uncomfortable.as quality and quantity was not good breakfast was not fresh I informed it with hotel guys they replied they arrange it from outside .might be possible that it could be of yesterday's meal.
8,Hotel Intercity International,bilaspur,India,4.3,1758,"['Doctor On Call', 'Sanitizers installed', 'Safety authorization certificate', 'Hospital in the vicinity']","Shaheed bhagat singh square (Jagmal Chowk)Bilaspur,Chhattisgarh - 495001","Nice hotel with spacious room . Room offers a good view of river at backside of hotel . Room service was good . Foods are tasty & rates are on higher side . They have a huge well maintained restaurant at basement .
Hotel offers good parking space with security . In case you are coming with own vehicle , hotel is ideal place for stay .
Overall nice place to stay .","Neat and clean hotel, rooms are decent. Food is good and staff are courteous."
9,Patrician - Clover,bilaspur,India,4,2291,"['Doctor On Call', 'Sanitizers installed', 'Safety authorization certificate', 'Hospital in the vicinity']","Near New Bus Stand beside Gumbar Patrol Pump, Sector-C, Sirgitti, Raipur Road, Bilaspur (C.G.) - 495004","amazing property
nice ambience
well behaved and cooperative staff
only thing i didn't like was the breakfast","excellent stay. good service. courteous staff & manager. They upgraded my room at no cost. Gym & swimming pool service was cool. Food was yummy, room. service is very prompt. nice enviornment overall...
near to bus stand & Railway Station. Market is also nearby."
